epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,5725.64,1.81317,0.97496,0.00253,0.78028,0.7078,0.77646,0.4191,1.62619,0.97035,0.00286,0.000986403,0.000986403,0.000986403
60,5820.56,1.94095,1.02417,0.00253,0.79123,0.74489,0.80407,0.44868,1.62844,0.9496,0.00271,0.000984255,0.000984255,0.000984255
61,5919.85,1.84291,0.97929,0.00257,0.78425,0.72425,0.79783,0.42496,1.63027,0.9488,0.00277,0.000982107,0.000982107,0.000982107
62,6019.52,1.95694,0.98167,0.00241,0.76775,0.74493,0.80946,0.43021,1.67455,0.98087,0.00283,0.000979958,0.000979958,0.000979958
63,6117.1,1.86055,0.99141,0.00247,0.80523,0.72157,0.80969,0.4511,1.62501,0.9577,0.00273,0.00097781,0.00097781,0.00097781
64,6211.54,1.8464,0.96553,0.00255,0.80207,0.75343,0.81147,0.44147,1.68096,0.93663,0.00284,0.000975662,0.000975662,0.000975662
65,6308.48,1.89201,0.99621,0.00266,0.79127,0.76326,0.81239,0.4499,1.65401,0.91961,0.00273,0.000973514,0.000973514,0.000973514
66,6405.77,1.87331,0.96739,0.00238,0.79251,0.73175,0.80488,0.45131,1.67494,0.9165,0.00271,0.000971366,0.000971366,0.000971366
67,6508.15,1.87856,0.9621,0.00245,0.80759,0.76526,0.82885,0.44891,1.65237,0.90945,0.0027,0.000969217,0.000969217,0.000969217
68,6609.8,1.9083,0.99882,0.00252,0.81421,0.76007,0.82517,0.42317,1.7057,0.94204,0.00276,0.000967069,0.000967069,0.000967069
69,6701.42,1.90242,0.98306,0.00242,0.79724,0.78046,0.82648,0.43547,1.68109,0.94891,0.00265,0.000964921,0.000964921,0.000964921
70,6795.44,1.8234,0.98335,0.00254,0.82155,0.76954,0.82721,0.46103,1.66194,0.92347,0.00269,0.000962773,0.000962773,0.000962773
71,6893.02,1.88095,0.96998,0.00259,0.80949,0.77475,0.82722,0.44025,1.63721,0.92266,0.00272,0.000960624,0.000960624,0.000960624
72,6981.32,1.84419,0.95339,0.00258,0.81131,0.7628,0.82217,0.45395,1.66257,0.91778,0.00271,0.000958476,0.000958476,0.000958476
73,7088.74,1.94051,0.98305,0.00242,0.81883,0.75686,0.82218,0.44208,1.68651,0.91546,0.00274,0.000956328,0.000956328,0.000956328
74,7187.14,1.85615,0.97359,0.00238,0.81269,0.73555,0.81157,0.45315,1.65219,0.89774,0.00271,0.00095418,0.00095418,0.00095418
75,7282.99,1.87132,0.96703,0.00255,0.84718,0.74916,0.82302,0.46507,1.62481,0.90163,0.00261,0.000952032,0.000952032,0.000952032
76,7377.52,1.80043,0.95174,0.00254,0.85275,0.75462,0.8316,0.45568,1.64723,0.89425,0.00274,0.000949883,0.000949883,0.000949883
77,7479.77,1.85175,0.9244,0.00234,0.80415,0.75856,0.8296,0.45952,1.67475,0.88203,0.00272,0.000947735,0.000947735,0.000947735
78,7580.15,1.82501,0.93605,0.00246,0.8336,0.72379,0.80931,0.45826,1.61531,0.86615,0.00262,0.000945587,0.000945587,0.000945587
79,7676.21,1.83556,0.92102,0.0023,0.7917,0.76689,0.82793,0.46225,1.61572,0.88571,0.00258,0.000943439,0.000943439,0.000943439
80,7770.27,1.80137,0.91787,0.00236,0.81921,0.7875,0.84157,0.46247,1.62091,0.85557,0.00271,0.00094129,0.00094129,0.00094129
81,7869,1.80192,0.92199,0.00232,0.81457,0.77863,0.83747,0.44179,1.63685,0.85039,0.00277,0.000939142,0.000939142,0.000939142
82,7951.84,1.80023,0.89929,0.00234,0.80158,0.78493,0.84373,0.44708,1.65354,0.87234,0.00275,0.000936994,0.000936994,0.000936994
83,8033.66,1.80445,0.89769,0.00239,0.8193,0.75674,0.81988,0.46733,1.64422,0.86005,0.0027,0.000934846,0.000934846,0.000934846
84,8116.01,1.75139,0.88534,0.00241,0.79694,0.77109,0.82672,0.46079,1.64509,0.88262,0.00278,0.000932698,0.000932698,0.000932698
85,8216.33,1.84407,0.92376,0.00234,0.8093,0.76983,0.82909,0.45195,1.65973,0.86504,0.0029,0.000930549,0.000930549,0.000930549
86,8318.17,1.84452,0.92208,0.00239,0.80198,0.77085,0.82524,0.46126,1.63918,0.85663,0.00272,0.000928401,0.000928401,0.000928401
87,8417.13,1.83164,0.89326,0.00237,0.81597,0.75888,0.82844,0.4618,1.63955,0.86263,0.00271,0.000926253,0.000926253,0.000926253
88,8515.08,1.9119,0.92669,0.00234,0.80351,0.75657,0.8212,0.45306,1.64269,0.86478,0.00272,0.000924105,0.000924105,0.000924105
89,8610.99,1.79618,0.90047,0.00245,0.77007,0.76422,0.81858,0.4666,1.61988,0.86562,0.00266,0.000921956,0.000921956,0.000921956
90,8703.56,1.7534,0.89019,0.00237,0.83226,0.7785,0.83059,0.46473,1.6108,0.84504,0.0027,0.000919808,0.000919808,0.000919808
91,8805.61,1.83331,0.90733,0.00244,0.82196,0.7874,0.83427,0.45259,1.594,0.83621,0.00267,0.00091766,0.00091766,0.00091766
92,8900.42,1.82247,0.92732,0.00246,0.8268,0.77061,0.83059,0.46003,1.64801,0.85042,0.00278,0.000915512,0.000915512,0.000915512
93,8994.29,1.75081,0.88042,0.00236,0.82882,0.77665,0.83066,0.47171,1.61709,0.83439,0.00268,0.000913364,0.000913364,0.000913364
94,9079.43,1.85425,0.90552,0.00237,0.79554,0.78689,0.82628,0.45547,1.65093,0.84616,0.00267,0.000911215,0.000911215,0.000911215
95,9160.1,1.79948,0.89829,0.00236,0.82967,0.79518,0.84088,0.47524,1.62545,0.82308,0.00261,0.000909067,0.000909067,0.000909067
96,9244.43,1.73987,0.8642,0.00234,0.8494,0.77844,0.84433,0.46847,1.60795,0.81872,0.00264,0.000906919,0.000906919,0.000906919
97,9337.52,1.83663,0.90645,0.00236,0.82932,0.79031,0.8422,0.46894,1.6144,0.83046,0.00265,0.000904771,0.000904771,0.000904771
98,9431.88,1.77817,0.88187,0.00235,0.81553,0.75984,0.83653,0.45473,1.61778,0.84137,0.0027,0.000902622,0.000902622,0.000902622
99,9524.19,1.81045,0.88882,0.00233,0.82882,0.76443,0.8373,0.47625,1.60459,0.84471,0.00256,0.000900474,0.000900474,0.000900474
100,9627.54,1.8113,0.85822,0.0024,0.84058,0.78345,0.84379,0.45617,1.60818,0.83163,0.00262,0.000898326,0.000898326,0.000898326
101,9722.11,1.75567,0.85465,0.00223,0.84989,0.78776,0.84461,0.47037,1.5995,0.79977,0.00258,0.000896178,0.000896178,0.000896178
102,9816.74,1.7481,0.84962,0.00226,0.84456,0.79642,0.8573,0.49003,1.59147,0.78044,0.00255,0.00089403,0.00089403,0.00089403
103,9909.57,1.76791,0.86112,0.00238,0.8365,0.79408,0.83832,0.46577,1.62337,0.79666,0.00257,0.000891881,0.000891881,0.000891881
104,10008.2,1.84776,0.88581,0.00227,0.78546,0.78293,0.82473,0.4535,1.59902,0.79898,0.00258,0.000889733,0.000889733,0.000889733
105,10101,1.78879,0.85431,0.00238,0.85219,0.75074,0.82664,0.45932,1.64527,0.81384,0.00269,0.000887585,0.000887585,0.000887585
106,10200.8,1.84227,0.83909,0.00224,0.83519,0.75227,0.83312,0.47018,1.62706,0.7956,0.00261,0.000885437,0.000885437,0.000885437
107,10292,1.70394,0.81789,0.00233,0.83585,0.77356,0.84763,0.48599,1.61637,0.79311,0.00264,0.000883288,0.000883288,0.000883288
108,10394.8,1.86686,0.90199,0.0023,0.81874,0.76913,0.81649,0.43837,1.67777,0.82473,0.00273,0.00088114,0.00088114,0.00088114
109,10487.1,1.71508,0.84437,0.00246,0.80694,0.79016,0.83519,0.45512,1.62753,0.80274,0.00264,0.000878992,0.000878992,0.000878992
110,10594.5,1.83495,0.85902,0.00229,0.84099,0.80187,0.85177,0.47197,1.68205,0.79951,0.00277,0.000876844,0.000876844,0.000876844
111,10700.8,1.79396,0.85732,0.00241,0.83907,0.81498,0.85563,0.47953,1.6546,0.79228,0.00269,0.000874696,0.000874696,0.000874696
112,10800.7,1.81243,0.87312,0.00236,0.83709,0.78231,0.85301,0.493,1.62533,0.79184,0.00261,0.000872547,0.000872547,0.000872547
113,10902.9,1.78794,0.84037,0.00221,0.83947,0.81497,0.85419,0.48746,1.63115,0.79016,0.00268,0.000870399,0.000870399,0.000870399
114,10999.1,1.78145,0.82802,0.00227,0.85005,0.80397,0.85688,0.4823,1.60861,0.77502,0.00256,0.000868251,0.000868251,0.000868251
115,11089.9,1.75722,0.84068,0.00233,0.87383,0.79949,0.86408,0.4866,1.64482,0.78906,0.00263,0.000866103,0.000866103,0.000866103
116,11193,1.82556,0.83285,0.00228,0.83146,0.77792,0.85263,0.4756,1.63568,0.7711,0.00264,0.000863954,0.000863954,0.000863954
117,11294.1,1.75702,0.82247,0.00228,0.84226,0.81085,0.86518,0.48139,1.62126,0.76189,0.00257,0.000861806,0.000861806,0.000861806
118,11398.6,1.76301,0.82428,0.00236,0.8154,0.82606,0.86728,0.48773,1.65915,0.79151,0.00274,0.000859658,0.000859658,0.000859658
119,11508.6,1.81258,0.83932,0.00225,0.82747,0.81689,0.87078,0.49493,1.62457,0.76114,0.00262,0.00085751,0.00085751,0.00085751
120,11616.5,1.82076,0.85132,0.00234,0.82445,0.81586,0.85702,0.48215,1.62404,0.77704,0.00261,0.000855362,0.000855362,0.000855362
121,11724.7,1.74525,0.82069,0.00225,0.84829,0.79081,0.84898,0.47242,1.62487,0.7735,0.00268,0.000853213,0.000853213,0.000853213
122,11828.1,1.71186,0.80763,0.00236,0.8485,0.8187,0.85751,0.47396,1.61872,0.7648,0.00268,0.000851065,0.000851065,0.000851065
123,11933,1.71338,0.79711,0.00226,0.82692,0.83732,0.85945,0.49881,1.59113,0.75979,0.00252,0.000848917,0.000848917,0.000848917
124,12035.7,1.74055,0.84483,0.00231,0.84641,0.81042,0.84698,0.46983,1.62064,0.75501,0.00262,0.000846769,0.000846769,0.000846769
125,12137.3,1.75437,0.80811,0.00229,0.83007,0.79684,0.85131,0.47586,1.63147,0.76141,0.00262,0.00084462,0.00084462,0.00084462
126,12239.2,1.73918,0.81993,0.00232,0.85053,0.79362,0.85501,0.48084,1.60473,0.75376,0.00259,0.000842472,0.000842472,0.000842472
127,12341.9,1.75115,0.81517,0.00221,0.81464,0.81689,0.85063,0.46403,1.65616,0.76136,0.00265,0.000840324,0.000840324,0.000840324
128,12437.3,1.73983,0.8047,0.00237,0.81797,0.82039,0.86285,0.48476,1.60899,0.75678,0.00259,0.000838176,0.000838176,0.000838176
129,12539.6,1.79051,0.80536,0.0023,0.85393,0.82063,0.86395,0.48232,1.60189,0.75522,0.00258,0.000836027,0.000836027,0.000836027
130,12640.6,1.79607,0.79608,0.00233,0.81183,0.85187,0.86504,0.48609,1.61137,0.7659,0.00257,0.000833879,0.000833879,0.000833879
131,12735.2,1.6818,0.77344,0.00228,0.83114,0.82599,0.86242,0.47058,1.61978,0.77233,0.00263,0.000831731,0.000831731,0.000831731
132,12841.4,1.80183,0.79364,0.00225,0.86379,0.79822,0.86269,0.48614,1.63426,0.76464,0.00268,0.000829583,0.000829583,0.000829583
133,12944.7,1.79927,0.81055,0.00221,0.87279,0.80115,0.86394,0.48377,1.59956,0.75526,0.0026,0.000827435,0.000827435,0.000827435
134,13044.6,1.80902,0.78734,0.0022,0.82575,0.83803,0.86064,0.47713,1.60924,0.74384,0.00257,0.000825286,0.000825286,0.000825286
135,13156.6,1.87091,0.81621,0.00224,0.86434,0.80911,0.8599,0.48565,1.60179,0.74162,0.00257,0.000823138,0.000823138,0.000823138
136,13262,1.69647,0.7975,0.00221,0.84357,0.81348,0.86359,0.4917,1.58435,0.73254,0.00256,0.00082099,0.00082099,0.00082099
137,13370.4,1.7118,0.777,0.00227,0.83986,0.81819,0.86056,0.4954,1.60437,0.73212,0.00257,0.000818842,0.000818842,0.000818842
138,13472.6,1.70802,0.81744,0.00224,0.85797,0.79305,0.8605,0.48296,1.63318,0.7455,0.00259,0.000816693,0.000816693,0.000816693
139,13582.8,1.72897,0.80182,0.00219,0.81094,0.81774,0.85781,0.47991,1.62562,0.74985,0.00262,0.000814545,0.000814545,0.000814545
140,13693.6,1.77947,0.82644,0.00219,0.84105,0.81173,0.85965,0.48391,1.6186,0.77087,0.00262,0.000812397,0.000812397,0.000812397
141,13798,1.70297,0.78905,0.0022,0.86543,0.80236,0.85722,0.48782,1.60722,0.76227,0.00253,0.000810249,0.000810249,0.000810249
142,13906.8,1.76614,0.79536,0.00219,0.81277,0.83905,0.85983,0.49466,1.60492,0.74747,0.00258,0.000808101,0.000808101,0.000808101
143,14014.6,1.76637,0.7828,0.00213,0.86725,0.80213,0.85997,0.48651,1.63915,0.75586,0.00261,0.000805952,0.000805952,0.000805952
144,14115.7,1.73577,0.78322,0.00223,0.84496,0.80617,0.85022,0.48603,1.60455,0.74793,0.00265,0.000803804,0.000803804,0.000803804
145,14220.8,1.76966,0.78857,0.00215,0.82558,0.81375,0.84662,0.47115,1.63851,0.7473,0.00263,0.000801656,0.000801656,0.000801656
146,14326.5,1.78895,0.79725,0.00218,0.81827,0.80219,0.84476,0.4842,1.63535,0.73819,0.00265,0.000799508,0.000799508,0.000799508
147,14424.7,1.7094,0.74659,0.00224,0.85172,0.81775,0.86326,0.49366,1.57853,0.72288,0.00254,0.000797359,0.000797359,0.000797359
148,14529.5,1.72913,0.76183,0.00219,0.87065,0.82761,0.87503,0.4802,1.61218,0.72747,0.0026,0.000795211,0.000795211,0.000795211
149,14629,1.66405,0.72928,0.00223,0.81782,0.87155,0.87427,0.49916,1.59033,0.74197,0.00254,0.000793063,0.000793063,0.000793063
150,14730.6,1.72331,0.75467,0.00216,0.83252,0.83165,0.87007,0.49464,1.60084,0.76115,0.00254,0.000790915,0.000790915,0.000790915
151,14836.7,1.72282,0.78624,0.00216,0.84361,0.81667,0.86866,0.49993,1.57644,0.74236,0.00253,0.000788767,0.000788767,0.000788767
152,14945.8,1.74916,0.75642,0.00216,0.85504,0.8029,0.8573,0.50039,1.59545,0.7384,0.00259,0.000786618,0.000786618,0.000786618
153,15050.4,1.6711,0.76005,0.00223,0.88016,0.80721,0.86588,0.4925,1.58322,0.72555,0.00259,0.00078447,0.00078447,0.00078447
154,15156,1.68814,0.76665,0.00215,0.85265,0.81273,0.86049,0.48568,1.60128,0.72729,0.00265,0.000782322,0.000782322,0.000782322
155,15257.3,1.68151,0.75779,0.00228,0.87031,0.80628,0.85369,0.48856,1.59463,0.72015,0.00259,0.000780174,0.000780174,0.000780174
156,15359.1,1.66598,0.76956,0.00223,0.84348,0.82801,0.86468,0.50054,1.59161,0.7127,0.00261,0.000778025,0.000778025,0.000778025
157,15464.8,1.65645,0.73581,0.00215,0.82594,0.8284,0.85949,0.48611,1.60883,0.71791,0.00262,0.000775877,0.000775877,0.000775877
158,15576.6,1.78664,0.76735,0.00219,0.84899,0.84915,0.87897,0.50289,1.59326,0.71336,0.00252,0.000773729,0.000773729,0.000773729
159,15681.6,1.72322,0.77262,0.00224,0.83914,0.83451,0.85746,0.49024,1.59578,0.71989,0.00256,0.000771581,0.000771581,0.000771581
160,15791.5,1.80125,0.79197,0.00215,0.8485,0.8251,0.86259,0.49289,1.59387,0.74128,0.00259,0.000769433,0.000769433,0.000769433
161,15894.7,1.69761,0.7598,0.00218,0.85452,0.82484,0.87301,0.50352,1.57851,0.73082,0.00252,0.000767284,0.000767284,0.000767284
162,15991,1.70245,0.74947,0.00213,0.86517,0.81762,0.87738,0.49924,1.5907,0.70223,0.00256,0.000765136,0.000765136,0.000765136
163,16093.5,1.72258,0.7696,0.00217,0.84304,0.82062,0.86538,0.49819,1.58232,0.69992,0.00254,0.000762988,0.000762988,0.000762988
164,16192.1,1.73027,0.74547,0.00224,0.83429,0.82433,0.85235,0.48459,1.62337,0.72751,0.00257,0.00076084,0.00076084,0.00076084
165,16290.1,1.71344,0.76869,0.00206,0.8408,0.80042,0.84874,0.49202,1.59893,0.7394,0.00259,0.000758691,0.000758691,0.000758691
166,16385.7,1.68629,0.77328,0.00222,0.84147,0.80456,0.85061,0.50239,1.56367,0.71045,0.00247,0.000756543,0.000756543,0.000756543
167,16485.9,1.72208,0.75067,0.00204,0.87383,0.81212,0.86859,0.51292,1.57232,0.69756,0.00248,0.000754395,0.000754395,0.000754395
168,16582.1,1.67718,0.75396,0.0021,0.86652,0.81711,0.85824,0.49138,1.60165,0.70481,0.00259,0.000752247,0.000752247,0.000752247
169,16681.3,1.68527,0.7251,0.00216,0.86917,0.79763,0.85816,0.48549,1.61209,0.71337,0.00261,0.000750099,0.000750099,0.000750099
170,16784.2,1.75305,0.74531,0.002,0.8573,0.82041,0.86074,0.49436,1.59323,0.72168,0.00251,0.00074795,0.00074795,0.00074795
171,16880.4,1.69564,0.72378,0.00214,0.86652,0.84416,0.87322,0.50181,1.58532,0.70204,0.0025,0.000745802,0.000745802,0.000745802
172,16982.6,1.69649,0.72873,0.00214,0.85162,0.8155,0.86443,0.47291,1.62379,0.7086,0.00259,0.000743654,0.000743654,0.000743654
173,17080.8,1.6966,0.73872,0.00224,0.84249,0.83789,0.87111,0.49309,1.60048,0.70303,0.00255,0.000741506,0.000741506,0.000741506
174,17166.5,1.68461,0.73646,0.00215,0.84909,0.83064,0.86819,0.49202,1.57897,0.70898,0.00252,0.000739357,0.000739357,0.000739357
175,17258,1.75742,0.75427,0.00205,0.87703,0.8028,0.86237,0.50154,1.58744,0.72847,0.00251,0.000737209,0.000737209,0.000737209
176,17357.7,1.74855,0.76668,0.00204,0.87959,0.82267,0.88031,0.51672,1.5686,0.70258,0.00242,0.000735061,0.000735061,0.000735061
177,17459.6,1.68349,0.73009,0.00213,0.86492,0.82893,0.87454,0.51602,1.57405,0.68837,0.00242,0.000732913,0.000732913,0.000732913
178,17555.3,1.67484,0.7323,0.00212,0.86734,0.8253,0.87337,0.51362,1.58282,0.67476,0.0025,0.000730765,0.000730765,0.000730765
179,17658,1.71507,0.73782,0.00216,0.85285,0.8106,0.86554,0.50517,1.55715,0.67426,0.00245,0.000728616,0.000728616,0.000728616
180,17752.7,1.65533,0.71855,0.0022,0.84244,0.81855,0.86558,0.5115,1.56014,0.68178,0.00243,0.000726468,0.000726468,0.000726468
181,17858.6,1.71693,0.7391,0.0021,0.87669,0.80322,0.86592,0.51239,1.5803,0.6919,0.00249,0.00072432,0.00072432,0.00072432
182,17959.6,1.69098,0.7066,0.00211,0.86421,0.81842,0.87223,0.50068,1.61288,0.69477,0.00259,0.000722172,0.000722172,0.000722172
